Nr,Locus,Segregation,Phase,Classification,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
343,PM1337_198,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,ll,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,ll,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,lm,lm,ll,lm,lm,ll,ll,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,lm,ll,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,lm,ll
344,pPt-654661,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,--,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,ll,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
345,pPt-536843,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,ll,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
346,stsnp_c1_16004,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,ll,ll,--,--,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,--,--,ll,--,--,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,ll,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
347,pPt-552174,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,ll,--,ll,lm,lm,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,ll,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
348,stsnp_c1_14606,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,ll,ll,--,--,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,ll,ll,--,ll,--,ll,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,ll,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
349,pPt-533924,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,--,ll,--,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,--,lm,lm,ll,lm,--,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,--,ll,ll,ll,lm,ll,lm,--,ll,lm,ll,lm,lm,--,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,--,lm,--,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,--,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,--,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,--,ll,lm,lm,--,lm,ll
350,pPt-650975,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,--,ll,--,lm,lm,lm,lm,ll,ll,ll,ll,--,lm,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,--,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
351,toPt-440308,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,--,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,--,lm,--,ll,ll,lm,ll,lm,lm,lm,lm,lm,--,--,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,--
352,stsnp_c1_15222,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,--,--,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,--,--,ll,--,--,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,--,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
353,capPt-673116,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,--,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,--,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,--,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,--,ll,ll,lm,ll,lm,lm,lm,lm,ll
354,pPt-458453,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,--,lm,ll,--,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
355,capPt-672993,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,--,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
356,pPt-650893,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,--,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
357,pPt-458714,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
358,toPt-437558,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,--,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
359,pPt-654443,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,--,ll,ll,lm,ll,lm,lm,lm,lm,ll
360,pPt-535439,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,--,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
361,pPt-539509,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,--,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
362,pPt-654751,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,--,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
363,toPt-438485,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,--,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
364,toPt-439251,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,--,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
365,toPt-440369,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,--,lm,lm,ll,ll,ll,--,ll,ll,lm,lm,ll,lm,lm,lm,lm,--,lm,ll,ll,ll,--,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,--,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,--,lm,lm,ll,--,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
366,pPt-458198,<lmxll>,{0-},"(ll,lm)",ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
